id,conversation_id,created_at,date,time,timezone,user_id,username,name,place,tweet,mentions,urls,photos,replies_count,retweets_count,likes_count,location,hashtags,link,retweet,quote_url,video
1124775205698719744,1124775205698719744,1557002281000,2019-05-04,15:38:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Optimal Control: LQR by @vlastelicap https://buff.ly/2ZT45ud ,['vlastelicap'],['https://buff.ly/2ZT45ud'],[],0,0,1,,[],https://twitter.com/TDataScience/status/1124775205698719744,,,0
1124733938625384448,1124733938625384448,1556992442000,2019-05-04,12:54:02,CDT,788898706586275840,tdatascience,Towards Data Science,,Who owns your health data?  https://buff.ly/2Ywezz0  🖊by @jaynew_l #healthcare #BigData #TDSPick 🎲 pic.twitter.com/C2BbVyvyky,['jaynew_l'],['https://buff.ly/2Ywezz0'],['https://pbs.twimg.com/media/D5vbjoVW4AA0FzV.jpg'],0,1,0,,"['#healthcare', '#bigdata', '#tdspick']",https://twitter.com/TDataScience/status/1124733938625384448,,,0
1124697946887532544,1124697946887532544,1556983861000,2019-05-04,10:31:01,CDT,788898706586275840,tdatascience,Towards Data Science,,My First Machine Learning Project: Designing a Hate Speech Detecting Algorithm https://buff.ly/2ZWwoaX ,,['https://buff.ly/2ZWwoaX'],[],1,6,16,,[],https://twitter.com/TDataScience/status/1124697946887532544,,,0
1124697944299573249,1124697944299573249,1556983860000,2019-05-04,10:31:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Machine learning for Customer Analytics  https://buff.ly/2IV9hIM ,,['https://buff.ly/2IV9hIM'],[],0,2,2,,[],https://twitter.com/TDataScience/status/1124697944299573249,,,0
1124654157804331010,1124654157804331010,1556973420000,2019-05-04,07:37:00,CDT,788898706586275840,tdatascience,Towards Data Science,,4 Reasons to Start Participating in Data Science Hackathons https://buff.ly/2Jekxzh ,,['https://buff.ly/2Jekxzh'],[],0,4,9,,[],https://twitter.com/TDataScience/status/1124654157804331010,,,0
1124443523263213568,1124443523263213568,1556923201000,2019-05-03,17:40:01,CDT,788898706586275840,tdatascience,Towards Data Science,,Bring your Jupyter Notebook to life with interactive widgets by @SemikaSemika https://buff.ly/2GZXd6O ,['semikasemika'],['https://buff.ly/2GZXd6O'],[],0,9,23,,[],https://twitter.com/TDataScience/status/1124443523263213568,,,0
1124330781676048386,1124330781676048386,1556896322000,2019-05-03,10:12:02,CDT,788898706586275840,tdatascience,Towards Data Science,,Structural Time Series modeling in TensorFlow Probability.  https://buff.ly/2TR6eac  🖊by Dave Moore and Jacob Burnim @TensorFlow #TensorFlow #DeepLearning #TDSPick 💡 pic.twitter.com/wZnKF0s6NJ,['tensorflow'],['https://buff.ly/2TR6eac'],"['https://pbs.twimg.com/media/D5ps4w-XsAAtrCZ.jpg', 'https://pbs.twimg.com/media/D5ps4xSXoAAOqQx.jpg', 'https://pbs.twimg.com/media/D5ps4vRX4AMno1N.jpg']",0,14,29,,"['#tensorflow', '#deeplearning', '#tdspick']",https://twitter.com/TDataScience/status/1124330781676048386,,,0
1124310390597398528,1124310390597398528,1556891460000,2019-05-03,08:51:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Using What-If Tool to investigate Machine Learning models. by @pandeyparul https://buff.ly/2JlkcLh ,['pandeyparul'],['https://buff.ly/2JlkcLh'],[],0,10,21,,[],https://twitter.com/TDataScience/status/1124310390597398528,,,0
1124310390492368897,1124310390492368897,1556891460000,2019-05-03,08:51:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Deep learning in Space 🛰 https://buff.ly/2IUyQtf ,,['https://buff.ly/2IUyQtf'],[],0,2,5,,[],https://twitter.com/TDataScience/status/1124310390492368897,,,0
1124291766759383041,1124291766759383041,1556887020000,2019-05-03,07:37:00,CDT,788898706586275840,tdatascience,Towards Data Science,,Natural Language Processing — Event Extraction https://buff.ly/2Y4Amwi ,,['https://buff.ly/2Y4Amwi'],[],0,12,31,,[],https://twitter.com/TDataScience/status/1124291766759383041,,,0
